Month,Day,Hour,AC System Output (kW)
6,6,11,0.69356
6,6,12,0.64378
6,6,13,0.642265
6,6,14,0.816142
6,6,15,0.512187
6,6,16,0.384006
6,6,17,0.217172
6,6,18,0.112403
6,6,19,0.044191
6,6,20,0.020628
6,6,21,0.002754
6,6,22,0
6,6,23,0
6,7,0,0
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,7,5,0.036833
6,7,6,0.06687
6,7,7,0.335586
6,7,8,0.681726
6,7,9,0.775063
6,7,10,0.806902
6,7,11,0.822071
6,7,12,0.823399
6,7,13,0.825015
6,7,14,0.667551
6,7,15,0.788916
6,7,16,0.771338
6,7,17,0.717893
6,7,18,0.596591
6,7,19,0.234435
6,7,20,0.058148
6,7,21,0.027157
6,7,22,0
6,7,23,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
6,8,5,0.025771
6,8,6,0.065197
6,8,7,0.176323
6,8,8,0.156557
6,8,9,0.263472
6,8,10,0.304499
6,8,11,0.321579
6,8,12,0.535721
6,8,13,0.382806
6,8,14,0.396084
6,8,15,0.182495
6,8,16,0.340557
6,8,17,0.176972
6,8,18,0.102535
6,8,19,0.124908
6,8,20,0.052695
6,8,21,0.015743
6,8,22,0
6,8,23,0
6,9,0,0
6,9,1,0
6,9,2,0
6,9,3,0
6,9,4,0
6,9,5,0.008486
6,9,6,0.032041
6,9,7,0.062037
6,9,8,0.082165
6,9,9,0.21071
6,9,10,0.29887
6,9,11,0.058077
6,9,12,0.10903
6,9,13,0.112795
6,9,14,0.083342
6,9,15,0.073975
6,9,16,0.315438
6,9,17,0.079249
6,9,18,0.22791
6,9,19,0.195907
6,9,20,0.056458
6,9,21,0.027794
6,9,22,0
6,9,23,0
6,10,0,0
6,10,1,0
6,10,2,0
6,10,3,0
6,10,4,0
6,10,5,0.000135
6,10,6,0.007082
6,10,7,0.015647
6,10,8,0.056805
6,10,9,0.081227
6,10,10,0.096746
6,10,11,0.428387
6,10,12,0.399288
6,10,13,0.554645
6,10,14,0.109094
6,10,15,0.219442
6,10,16,0.478441
6,10,17,0.567565
6,10,18,0.547527
6,10,19,0.230329
6,10,20,0.063378
6,10,21,0.028432
6,10,22,0
6,10,23,0
6,11,0,0
6,11,1,0
6,11,2,0
6,11,3,0
6,11,4,0
6,11,5,0.019795
6,11,6,0.066423
6,11,7,0.15109
6,11,8,0.416274
6,11,9,0.253013
6,11,10,0.075898
6,11,11,0.12644
6,11,12,0.129221
6,11,13,0.165764
6,11,14,0.153399
6,11,15,0.312882
6,11,16,0.510384
6,11,17,0.225702
6,11,18,0.173934
6,11,19,0.13799
6,11,20,0.057954
6,11,21,0.017868
6,11,22,0
6,11,23,0
6,12,0,0
6,12,1,0
6,12,2,0
6,12,3,0
6,12,4,0
6,12,5,0.041748
6,12,6,0.07482
6,12,7,0.037589
6,12,8,0.057786
6,12,9,0.307806
6,12,10,0.144514
6,12,11,0.299995
6,12,12,0.32842
6,12,13,0.608255
6,12,14,0.597438
